problem,matrix_role,eigenvalue_index,eigenvalue,tau,tau_lambda,nearest_integer,grid_distance,aliased
heat_2d,physical_hermitian_400x400,286,-2.8242760833545835,44.97941097041009,-127.034274647106,-127,0.034274647106002476,False
heat_2d,physical_hermitian_400x400,287,-2.824276083354581,44.97941097041009,-127.03427464710589,-127,0.03427464710588879,False
heat_2d,physical_hermitian_400x400,288,-2.819536437160513,44.97941097041009,-126.82108815308857,-127,0.1789118469114328,False
heat_2d,physical_hermitian_400x400,289,-2.819536437160502,44.97941097041009,-126.82108815308807,-127,0.17891184691193018,False
heat_2d,physical_hermitian_400x400,290,-2.7925643192806433,44.97941097041009,-125.60789817822756,-126,0.39210182177244235,False
heat_2d,physical_hermitian_400x400,291,-2.7925643192806344,44.97941097041009,-125.60789817822716,-126,0.39210182177284025,False
heat_2d,physical_hermitian_400x400,292,-2.753020396282536,44.97941097041009,-123.82923581431344,-124,0.17076418568656493,False
heat_2d,physical_hermitian_400x400,293,-2.7530203962825337,44.97941097041009,-123.82923581431334,-124,0.1707641856866644,False
heat_2d,physical_hermitian_400x400,294,-2.6833564435131994,44.97941097041009,-120.6957922528782,-121,0.30420774712179366,False
heat_2d,physical_hermitian_400x400,295,-2.683356443513197,44.97941097041009,-120.6957922528781,-121,0.30420774712189314,False
heat_2d,physical_hermitian_400x400,296,-2.64310413210779,44.97941097041009,-118.88526699566539,-119,0.1147330043346102,False
heat_2d,physical_hermitian_400x400,297,-2.643104132107788,44.97941097041009,-118.88526699566529,-119,0.11473300433470968,False
heat_2d,physical_hermitian_400x400,298,-2.6035602091096894,44.97941097041009,-117.10660463175157,-117,0.10660463175156565,False
heat_2d,physical_hermitian_400x400,299,-2.603560209109681,44.97941097041009,-117.10660463175118,-117,0.10660463175118196,False
heat_2d,physical_hermitian_400x400,300,-2.55495813208737,44.97941097041009,-114.92051183534913,-115,0.0794881646508685,False
heat_2d,physical_hermitian_400x400,301,-2.5549581320873695,44.97941097041009,-114.9205118353491,-115,0.07948816465089692,False
heat_2d,physical_hermitian_400x400,302,-2.538635902534418,44.97941097041009,-114.18634756433353,-114,0.1863475643335306,False
heat_2d,physical_hermitian_400x400,303,-2.533896256340346,44.97941097041009,-113.97316107031604,-114,0.02683892968396151,False
heat_2d,physical_hermitian_400x400,304,-2.5338962563403453,44.97941097041009,-113.973161070316,-114,0.026838929684004142,False
heat_2d,physical_hermitian_400x400,305,-2.4969826385408638,44.97941097041009,-112.31280828490847,-112,0.31280828490847057,False
heat_2d,physical_hermitian_400x400,306,-2.496982638540858,44.97941097041009,-112.31280828490821,-112,0.3128082849082148,False
heat_2d,physical_hermitian_400x400,307,-2.4673802154623727,44.97941097041009,-110.98130873154106,-111,0.018691268458937316,False
heat_2d,physical_hermitian_400x400,308,-2.4673802154623705,44.97941097041009,-110.98130873154096,-111,0.01869126845903679,False
heat_2d,physical_hermitian_400x400,309,-2.3844360691675006,44.97941097041009,-107.2505298877542,-107,0.2505298877541975,False
heat_2d,physical_hermitian_400x400,310,-2.384436069167497,44.97941097041009,-107.25052988775404,-107,0.25052988775404117,False
heat_2d,physical_hermitian_400x400,311,-2.3475224513680124,44.97941097041009,-105.59017710234637,-106,0.40982289765362623,False
heat_2d,physical_hermitian_400x400,312,-2.347522451368009,44.97941097041009,-105.59017710234622,-106,0.40982289765378255,False
heat_2d,physical_hermitian_400x400,313,-2.3079785283699112,44.97941097041009,-103.81151473843254,-104,0.1884852615674646,False
heat_2d,physical_hermitian_400x400,314,-2.3079785283699104,44.97941097041009,-103.81151473843249,-104,0.18848526156750722,False
heat_2d,physical_hermitian_400x400,315,-2.2693179512672086,44.97941097041009,-102.07258475257684,-102,0.07258475257684438,False
heat_2d,physical_hermitian_400x400,316,-2.2693179512672086,44.97941097041009,-102.07258475257684,-102,0.07258475257684438,False
heat_2d,physical_hermitian_400x400,317,-2.238314575600569,44.97941097041009,-100.67807117699704,-101,0.3219288230029633,False
heat_2d,physical_hermitian_400x400,318,-2.2383145756005653,44.97941097041009,-100.67807117699688,-101,0.32192882300311965,False
heat_2d,physical_hermitian_400x400,319,-2.1980622641951646,44.97941097041009,-98.86754591978443,-99,0.1324540802155667,False
heat_2d,physical_hermitian_400x400,320,-2.19806226419516,44.97941097041009,-98.86754591978423,-99,0.13245408021576566,False
heat_2d,physical_hermitian_400x400,321,-2.17179853472259,44.97941097041009,-97.68621883822183,-98,0.3137811617781665,False
heat_2d,physical_hermitian_400x400,322,-2.1717985347225865,44.97941097041009,-97.68621883822168,-98,0.3137811617783228,False
heat_2d,physical_hermitian_400x400,323,-2.0888543884277238,44.97941097041009,-93.95543999443522,-94,0.044560005564775906,False
heat_2d,physical_hermitian_400x400,324,-2.0888543884277144,44.97941097041009,-93.9554399944348,-94,0.04456000556520223,False
heat_2d,physical_hermitian_400x400,325,-2.0486020770223137,44.97941097041009,-92.14491473722236,-92,0.14491473722236492,False
heat_2d,physical_hermitian_400x400,326,-2.0486020770223092,44.97941097041009,-92.14491473722215,-92,0.14491473722215176,False
heat_2d,physical_hermitian_400x400,327,-2.0223383475497494,44.97941097041009,-90.96358765566022,-91,0.036412344339780134,False
heat_2d,physical_hermitian_400x400,328,-2.0223383475497405,44.97941097041009,-90.96358765565982,-91,0.03641234434017804,False
heat_2d,physical_hermitian_400x400,329,-2.000000000000002,44.97941097041009,-89.95882194082029,-90,0.041178059179713955,False
heat_2d,physical_hermitian_400x400,330,-1.9393942012548702,44.97941097041009,-87.23280881187303,-87,0.23280881187302782,False
heat_2d,physical_hermitian_400x400,331,-1.9393942012548693,44.97941097041009,-87.23280881187299,-87,0.2328088118729852,False
heat_2d,physical_hermitian_400x400,332,-1.902480583455386,44.97941097041009,-85.57245602646539,-86,0.42754397353461115,False
heat_2d,physical_hermitian_400x400,333,-1.9024805834553788,44.97941097041009,-85.57245602646506,-86,0.427543973534938,False
heat_2d,physical_hermitian_400x400,334,-1.8728781603768987,44.97941097041009,-84.24095647309815,-84,0.2409564730981515,False
heat_2d,physical_hermitian_400x400,335,-1.8728781603768887,44.97941097041009,-84.2409564730977,-84,0.24095647309769674,False
heat_2d,physical_hermitian_400x400,336,-1.803214207607559,44.97941097041009,-81.10751291166278,-81,0.10751291166278065,False
heat_2d,physical_hermitian_400x400,337,-1.8032142076075561,44.97941097041009,-81.10751291166265,-81,0.10751291166265275,False
heat_2d,physical_hermitian_400x400,338,-1.7530203962825404,44.97941097041009,-78.84982484390355,-79,0.15017515609645216,False
heat_2d,physical_hermitian_400x400,339,-1.7530203962825373,44.97941097041009,-78.8498248439034,-79,0.15017515609659426,False
heat_2d,physical_hermitian_400x400,340,-1.753020396282535,44.97941097041009,-78.8498248439033,-79,0.15017515609669374,False
heat_2d,physical_hermitian_400x400,341,-1.7530203962825242,44.97941097041009,-78.84982484390281,-79,0.15017515609719112,False
heat_2d,physical_hermitian_400x400,342,-1.6438125205150902,44.97941097041009,-73.93771891855391,-74,0.06228108144608768,False
heat_2d,physical_hermitian_400x400,343,-1.6438125205150877,44.97941097041009,-73.9377189185538,-74,0.06228108144620137,False
heat_2d,physical_hermitian_400x400,344,-1.6168404026352199,44.97941097041009,-72.72452894369289,-73,0.27547105630711144,False
heat_2d,physical_hermitian_400x400,345,-1.616840402635218,44.97941097041009,-72.7245289436928,-73,0.2754710563071967,False
heat_2d,physical_hermitian_400x400,346,-1.5772964796371158,44.97941097041009,-70.94586657977891,-71,0.05413342022109191,False
heat_2d,physical_hermitian_400x400,347,-1.5772964796371116,44.97941097041009,-70.94586657977872,-71,0.05413342022127665,False
heat_2d,physical_hermitian_400x400,348,-1.5338962563403444,44.97941097041009,-68.99375009990587,-69,0.006249900094132954,False
heat_2d,physical_hermitian_400x400,349,-1.5338962563403422,44.97941097041009,-68.99375009990577,-69,0.00624990009423243,False
heat_2d,physical_hermitian_400x400,350,-1.5060407925650603,44.97941097041009,-67.74082774698599,-68,0.2591722530140146,False
heat_2d,physical_hermitian_400x400,351,-1.4673802154623705,44.97941097041009,-66.00189776113088,-66,0.0018977611308770292,False
heat_2d,physical_hermitian_400x400,352,-1.4673802154623687,44.97941097041009,-66.00189776113079,-66,0.0018977611307917641,False
heat_2d,physical_hermitian_400x400,353,-1.3581723396949323,44.97941097041009,-61.08979183578178,-61,0.08979183578178151,False
heat_2d,physical_hermitian_400x400,354,-1.3581723396949252,44.97941097041009,-61.08979183578146,-61,0.08979183578146177,False
heat_2d,physical_hermitian_400x400,355,-1.3475224513680164,44.97941097041009,-60.61076613193646,-61,0.3892338680635419,False
heat_2d,physical_hermitian_400x400,356,-1.347522451368012,44.97941097041009,-60.61076613193626,-61,0.38923386806374083,False
heat_2d,physical_hermitian_400x400,357,-1.2916562988169558,44.97941097041009,-58.09793949700668,-58,0.09793949700667781,False
heat_2d,physical_hermitian_400x400,358,-1.2916562988169529,44.97941097041009,-58.09793949700655,-58,0.09793949700654991,False
heat_2d,physical_hermitian_400x400,359,-1.28691665262288,44.97941097041009,-57.884753002989,-58,0.11524699701099905,False
heat_2d,physical_hermitian_400x400,360,-1.286916652622877,44.97941097041009,-57.88475300298887,-58,0.11524699701112695,False
heat_2d,physical_hermitian_400x400,361,-1.198062264195174,44.97941097041009,-53.88813494937476,-54,0.11186505062524077,False
heat_2d,physical_hermitian_400x400,362,-1.198062264195162,44.97941097041009,-53.88813494937422,-54,0.11186505062578078,False
heat_2d,physical_hermitian_400x400,363,-1.1005428476505525,44.97941097041009,-49.50176903501963,-50,0.49823096498037245,False
